iter	Logloss
0	0.6544632472
1	0.6247896474
2	0.6005690681
3	0.5867923136
4	0.573906236
5	0.5623145266
6	0.5502027836
7	0.5411075284
8	0.5303916495
9	0.5226180731
10	0.5174668339
11	0.5132325881
12	0.5063801585
13	0.4989280688
14	0.4948728615
15	0.4891562277
16	0.4844727774
17	0.4815341955
18	0.4776465755
19	0.4742679047
20	0.4695723846
21	0.4648384852
22	0.4618603916
23	0.4602017865
24	0.4578565444
25	0.4541483244
26	0.450510069
27	0.4464883579
28	0.4430165076
29	0.4401933778
30	0.4371181774
31	0.4358708365
32	0.4329248362
33	0.4306097933
34	0.4274536229
35	0.426031758
36	0.4230528818
37	0.4212914759
38	0.4187223965
39	0.4164799551
40	0.4132119182
41	0.4114112727
42	0.4078748974
43	0.4052998196
44	0.4021693965
45	0.4002937442
46	0.3978297198
47	0.3956234271
48	0.3925154546
49	0.3904438015
50	0.3887932611
51	0.3877525887
52	0.3859443416
53	0.3838899118
54	0.3823818301
55	0.379912202
56	0.3785175193
57	0.376013729
58	0.3739392862
59	0.3716340633
60	0.3695465486
61	0.3661675581
62	0.3636979619
63	0.36165859
64	0.3594888353
65	0.3566390754
66	0.3541149337
67	0.3527388161
68	0.3501965066
69	0.3487945397
70	0.347511868
71	0.3457798175
72	0.3439784019
73	0.3413239806
74	0.3381077577
75	0.3357095709
76	0.3346979386
77	0.3335408232
78	0.3311715967
79	0.3281067211
80	0.3257019609
81	0.3247973189
82	0.3225268578
83	0.3202314298
84	0.318289304
85	0.3177353633
86	0.3157840487
87	0.3139439947
88	0.3130397127
89	0.3125243863
90	0.3102807839
91	0.3100675415
92	0.3088170004
93	0.3071374066
94	0.3052175522
95	0.304313904
96	0.3023264857
97	0.3018915456
98	0.301388088
99	0.2998611274
100	0.2967120437
101	0.2956074076
102	0.2927085819
103	0.290766796
104	0.2886011294
105	0.2867142942
106	0.2846769335
107	0.2845109061
108	0.2814115712
109	0.2813146376
110	0.2793496523
111	0.2777058373
112	0.2756929306
113	0.2734040278
114	0.2718527322
115	0.2705082666
116	0.268682128
117	0.2670011032
118	0.2669175307
119	0.2655998572
120	0.2641452928
121	0.2616154192
122	0.2599293801
123	0.2581439489
124	0.2564448194
125	0.2551326076
126	0.2536805783
127	0.2528844015
128	0.2527143241
129	0.2517445302
130	0.2505508246
131	0.2496847755
132	0.2488339673
133	0.2469724943
134	0.2455970568
135	0.244214619
136	0.2429691727
137	0.2428188302
138	0.24142563
139	0.2403030821
140	0.2388157049
141	0.2385455122
142	0.23825664
143	0.2367913814
144	0.2365879059
145	0.2357718498
146	0.2348179228
147	0.2329862002
148	0.2313777337
149	0.2302606584
150	0.2287141221
151	0.2270911722
152	0.2256867109
153	0.2231876205
154	0.2221188186
155	0.2214467502
156	0.2203956642
157	0.2189520614
158	0.2179333657
159	0.216891794
160	0.2156069265
161	0.2150707444
162	0.2139822792
163	0.2129501977
164	0.2120816524
165	0.2119911218
166	0.2111118151
167	0.2101392069
168	0.2088310606
169	0.2076994247
170	0.2064802425
171	0.2051444809
172	0.2038677932
173	0.2026726946
174	0.2007710352
175	0.2002207048
176	0.1992530728
177	0.1977768058
178	0.1970681681
179	0.1960407294
180	0.1953506615
181	0.1946977244
182	0.1941547555
183	0.193080849
184	0.1924627064
185	0.1924057093
186	0.1909191393
187	0.1898942417
188	0.1887931601
189	0.1880752752
190	0.1868184216
191	0.1862024989
192	0.1856496525
193	0.1850954645
194	0.1839225674
195	0.1827949174
196	0.1824585366
197	0.1813898675
198	0.1802415818
199	0.178528535
200	0.1777198134
201	0.176649397
202	0.1757522498
203	0.1748695741
204	0.1735608732
205	0.172969873
206	0.1720244585
207	0.1712049645
208	0.1699075721
209	0.1686901431
210	0.1681284266
211	0.1673648605
212	0.1667977172
213	0.1662073618
214	0.1654678034
215	0.1642976997
216	0.1633298165
217	0.1624595945
218	0.1618589088
219	0.1612939641
220	0.1612481863
221	0.1608364872
222	0.1601008667
223	0.159680654
224	0.1591080966
225	0.1577472271
226	0.1571237242
227	0.1564373861
228	0.1559715921
229	0.1553102144
230	0.1544999913
231	0.1538541051
232	0.1529476386
233	0.1522689108
234	0.151443505
235	0.1502952302
236	0.1495585077
237	0.1487991997
238	0.1481214778
239	0.1471071225
240	0.1459798105
241	0.1455312259
242	0.1447758858
243	0.1436838734
244	0.1432407755
245	0.1424608607
246	0.1420052615
247	0.1407633638
248	0.1401214166
249	0.1394594047
250	0.1386642765
251	0.1383458065
252	0.1378134421
253	0.1373050159
254	0.13663467
255	0.1360360567
256	0.1357811404
257	0.1355928985
258	0.1350859278
259	0.1344069598
260	0.1335532904
261	0.1330131884
262	0.1324748622
263	0.1321108505
264	0.1313965981
265	0.1307772244
266	0.130010345
267	0.1293558146
268	0.1287610433
269	0.1282896005
270	0.1279734472
271	0.1277357341
272	0.1272938039
273	0.1263746576
274	0.1253673007
275	0.1253381787
276	0.1245224066
277	0.124009048
278	0.1236126208
279	0.1228759408
280	0.1222474978
281	0.1218703577
282	0.1210408094
283	0.1207935049
284	0.1201435047
285	0.1195750545
286	0.1194321706
287	0.1188967817
288	0.1179896878
289	0.1172938081
290	0.1168175356
291	0.1164777062
292	0.1159975258
293	0.1155372178
294	0.1150883539
295	0.1142901272
296	0.1134416502
297	0.1129187233
298	0.1120218085
299	0.1115549132
300	0.111496864
301	0.1111471229
302	0.1109285886
303	0.1101346364
304	0.109614882
305	0.109186351
306	0.1083008309
307	0.1077844879
308	0.1073535047
309	0.1068230052
310	0.1063611452
311	0.1058485719
312	0.1054528951
313	0.1050276985
314	0.1044570879
315	0.1043060752
316	0.1039327269
317	0.1034585083
318	0.1029641314
319	0.1024006388
320	0.1018832285
321	0.1015100566
322	0.100758526
323	0.1002165779
324	0.09979165543
325	0.0991442176
326	0.09869898364
327	0.09810100123
328	0.0974970904
329	0.09748446519
330	0.09693954687
331	0.09644004571
332	0.0963061531
333	0.095801055
334	0.09547840286
335	0.09520962651
336	0.09486662647
337	0.09423612459
338	0.09411399513
339	0.09374699561
340	0.09348951183
341	0.09312260003
342	0.09255601204
343	0.09244869485
344	0.09220417434
345	0.09155301646
346	0.0911439973
347	0.09075424685
348	0.09025559747
349	0.08975450906
350	0.08959593759
351	0.0893526114
352	0.08882228241
353	0.0888094577
354	0.08843931343
355	0.08812509522
356	0.08785164508
357	0.0876151721
358	0.08707584413
359	0.08705738915
360	0.08699332076
361	0.08662259317
362	0.08638261706
363	0.08620854081
364	0.08591297967
365	0.08566844934
366	0.08528030849
367	0.08465297466
368	0.08464284538
369	0.08424623145
370	0.08394381739
371	0.08352574199
372	0.08332804288
373	0.08282260161
374	0.08249727144
375	0.08205103195
376	0.08170419473
377	0.08142170891
378	0.08096182061
379	0.08063175094
380	0.08048332677
381	0.08016544933
382	0.08004266343
383	0.07959690452
384	0.07929915976
385	0.07894889141
386	0.07842873302
387	0.07834408152
388	0.0778981836
389	0.07779874829
390	0.07766397028
391	0.07747217642
392	0.07706663797
393	0.07683994206
394	0.0762089942
395	0.07615184454
396	0.07603430481
397	0.07574747407
398	0.07547769242
399	0.07524282798
400	0.07513795577
401	0.07479466923
402	0.07449967339
403	0.07415398578
404	0.07384562758
405	0.07352554409
406	0.07334974754
407	0.07310761824
408	0.07277453
409	0.07244991867
410	0.07219650302
411	0.07168993792
412	0.0714825309
413	0.07114397586
414	0.07077412219
415	0.07042980716
416	0.07019703566
417	0.06983895982
418	0.06965497466
419	0.06952225823
420	0.06904770135
421	0.06890595436
422	0.06857521757
423	0.06838779589
424	0.06801165752
425	0.06771138915
426	0.06719068591
427	0.06703273929
428	0.06673777069
429	0.0665725185
430	0.06630859966
431	0.06589362976
432	0.06566031829
433	0.06546573211
434	0.06536484225
