iter	Passed	Remaining
0	1	1404
1	2	1071
2	2	904
3	3	812
4	3	770
5	4	735
6	4	703
7	5	676
8	6	667
9	6	654
10	7	649
11	7	636
12	8	627
13	8	619
14	9	612
15	9	606
16	10	597
17	10	589
18	11	588
19	11	584
20	12	578
21	12	575
22	13	573
23	14	570
24	14	566
25	15	562
26	15	562
27	16	561
28	16	558
29	17	554
30	17	550
31	18	547
32	18	546
33	19	542
34	19	538
35	20	536
36	20	534
37	21	533
38	21	532
39	22	539
40	23	539
41	23	537
42	24	537
43	24	534
44	25	534
45	25	532
46	26	530
47	26	528
48	27	525
49	27	522
50	27	519
51	28	516
52	28	513
53	29	511
54	29	508
55	30	505
56	30	503
57	30	501
58	31	498
59	31	496
60	32	494
61	32	491
62	32	490
63	33	487
64	33	487
65	34	485
66	34	484
67	35	481
68	35	479
69	35	476
70	36	474
71	36	472
72	37	470
73	37	468
74	37	466
75	38	465
76	38	464
77	39	462
78	39	460
79	39	458
80	40	457
81	40	455
82	41	454
83	41	453
84	41	451
85	42	450
86	42	448
87	43	452
88	44	452
89	45	455
90	45	455
91	46	457
92	46	458
93	47	457
94	48	457
95	48	457
96	49	456
97	49	458
98	50	458
99	51	459
100	51	458
101	52	458
102	52	457
103	52	456
104	53	456
105	54	455
106	54	454
107	54	453
108	55	452
109	55	451
110	56	450
111	56	449
112	57	448
113	57	446
114	57	445
115	58	444
116	58	443
117	59	442
118	59	441
119	59	439
120	60	438
121	60	437
122	61	436
123	61	435
124	62	434
125	62	433
126	62	432
127	63	431
128	63	430
129	64	429
130	64	428
131	64	427
132	65	426
133	65	425
134	66	424
135	66	425
136	67	424
137	67	424
138	68	423
139	68	423
140	69	422
141	69	422
142	70	421
143	70	421
144	71	421
145	71	420
146	72	419
147	72	419
148	73	418
149	73	418
150	74	417
151	74	416
152	75	415
153	75	416
154	76	415
155	76	415
156	77	414
157	77	414
158	78	413
159	78	413
160	79	412
161	79	412
162	80	411
163	80	411
164	81	411
165	81	410
166	82	410
167	82	410
168	83	409
169	84	410
170	84	410
171	85	409
172	85	409
173	86	408
174	86	408
175	87	408
176	87	407
177	88	407
178	88	406
179	89	405
180	89	405
181	90	405
182	90	404
183	91	403
184	91	403
185	92	403
186	92	402
187	93	402
188	93	401
189	94	400
190	94	400
191	94	399
192	95	398
193	95	398
194	96	397
195	96	396
196	97	396
197	98	398
198	98	397
199	99	397
200	99	396
201	100	396
202	100	395
203	101	394
204	101	393
205	102	393
206	102	392
207	102	392
208	103	391
209	103	390
210	104	389
211	104	389
212	105	388
213	105	387
214	106	387
215	107	388
216	107	388
217	108	387
218	108	386
219	109	386
220	109	385
221	110	385
222	110	385
223	111	384
224	111	384
225	112	383
226	112	383
227	113	383
228	113	382
229	114	382
230	114	381
231	115	381
232	115	380
233	116	380
234	116	379
235	117	379
236	117	378
237	118	378
238	118	377
239	118	376
240	119	376
241	119	375
242	120	374
243	120	373
244	121	373
245	121	372
246	121	371
247	122	371
248	122	370
249	123	369
250	123	368
251	124	368
252	124	367
253	124	366
254	125	366
255	125	365
256	126	365
257	126	364
258	127	363
259	127	363
260	127	362
261	128	361
262	128	360
263	129	360
264	129	359
265	130	358
266	130	358
267	130	357
268	131	356
269	131	356
270	132	355
271	132	354
272	132	354
273	133	353
274	133	352
275	134	352
276	134	351
277	135	351
278	135	350
279	136	349
280	136	349
281	136	348
282	137	347
283	137	347
284	138	346
285	138	345
286	138	345
287	139	344
288	139	343
289	140	343
290	140	342
291	140	341
292	141	341
293	141	340
294	142	340
295	142	339
296	143	339
297	143	338
298	144	337
299	144	337
300	144	336
301	145	335
302	145	335
303	146	334
304	146	334
305	146	333
306	147	332
307	147	332
308	148	331
309	148	330
310	149	330
311	149	329
312	149	329
313	150	328
314	150	327
315	151	327
316	151	326
317	152	326
318	152	325
319	153	325
320	153	324
321	153	324
322	154	323
323	154	323
324	155	322
325	155	322
326	156	321
327	156	320
328	157	320
329	157	319
330	157	319
331	158	318
332	158	318
333	159	317
334	159	317
335	160	316
336	160	316
337	161	315
338	161	315
339	162	314
340	162	314
341	163	313
342	163	313
343	163	312
344	164	312
345	164	311
346	165	311
347	165	310
348	166	309
349	166	309
350	167	308
351	167	308
352	168	308
353	168	307
354	169	307
355	169	306
356	169	306
357	170	305
358	170	305
359	171	304
360	171	304
361	172	303
362	172	303
363	173	302
364	173	301
365	173	301
366	174	300
367	174	300
368	175	299
369	175	299
370	176	298
371	176	297
372	176	297
373	177	296
374	177	296
375	178	295
376	178	294
377	178	294
378	179	293
379	179	293
380	180	292
381	180	292
382	181	291
383	181	291
384	181	290
385	182	290
386	182	289
387	183	288
388	183	288
389	184	287
390	184	287
391	184	286
392	185	286
393	185	285
394	186	285
395	186	284
396	187	284
397	187	283
398	188	283
399	188	282
400	189	282
401	189	281
402	190	281
403	190	280
404	190	280
405	191	279
406	191	279
407	192	278
408	192	278
409	193	277
410	193	277
411	194	277
412	194	276
413	195	276
414	195	275
415	196	275
416	196	274
417	197	274
418	197	273
419	197	273
420	198	272
421	198	272
422	199	271
423	199	271
424	200	270
425	200	270
426	201	270
427	201	269
428	202	269
429	202	268
430	203	268
431	203	267
432	204	267
433	204	266
434	204	266
435	205	265
436	205	265
437	206	264
438	206	264
439	207	263
440	207	263
441	208	263
442	208	262
443	209	262
444	209	261
445	210	261
446	210	260
447	210	259
448	211	259
449	211	258
450	212	258
451	212	258
452	213	257
453	213	257
454	214	256
455	214	256
456	215	255
457	215	255
458	216	254
459	216	254
460	216	253
461	217	253
462	217	252
463	218	252
464	218	251
465	219	251
466	219	250
467	220	250
468	220	250
469	221	249
470	221	249
471	222	248
472	222	247
473	222	247
474	223	246
475	223	246
476	224	245
477	224	245
478	224	244
479	225	243
480	225	243
481	225	242
482	226	242
483	226	241
484	227	241
485	227	240
486	228	240
487	228	239
488	228	239
489	229	238
490	229	238
491	229	237
492	230	236
493	230	236
494	231	235
495	231	235
496	231	234
497	232	234
498	232	233
499	233	233
500	233	232
501	234	232
502	234	231
503	234	231
504	235	230
505	235	229
506	235	229
507	236	228
508	236	228
509	237	227
510	237	227
511	238	226
512	238	226
513	239	226
514	239	225
515	240	225
516	240	224
517	240	224
518	241	223
519	241	223
520	242	222
521	242	222
522	242	221
523	243	221
524	243	220
525	244	220
526	244	219
527	245	219
528	245	218
529	245	218
530	246	217
531	246	217
532	247	216
533	247	216
534	248	215
535	248	215
536	249	214
537	249	214
538	250	214
539	250	213
540	251	213
541	251	212
542	252	212
543	252	211
544	252	211
545	253	210
546	253	210
547	254	209
548	254	209
549	255	208
550	255	208
551	255	207
552	256	207
553	256	206
554	257	206
555	257	205
556	258	205
557	258	204
558	259	204
559	259	203
560	259	203
561	260	202
562	260	202
563	261	201
564	261	201
565	261	200
566	262	200
567	262	199
568	263	199
569	263	198
570	263	198
571	264	197
572	264	197
573	265	196
574	265	196
575	266	195
576	266	195
577	266	194
578	267	194
579	267	193
580	268	193
581	268	192
582	269	192
583	269	191
584	269	191
585	270	191
586	270	190
587	271	190
588	271	189
589	272	189
590	272	188
591	273	188
592	273	187
593	273	187
594	274	186
595	274	186
596	275	185
597	275	185
598	276	184
599	276	184
600	276	183
601	277	183
602	277	182
603	278	182
604	278	181
605	278	181
606	279	180
607	279	180
608	280	179
609	280	179
610	281	178
611	282	178
612	282	178
613	283	178
614	283	177
615	284	177
616	284	176
617	285	176
618	285	175
619	286	175
620	286	174
621	287	174
622	287	174
623	288	173
624	288	173
625	289	172
626	289	172
627	289	171
628	290	171
629	290	170
630	291	170
631	291	169
632	292	169
633	292	168
634	293	168
635	293	167
636	293	167
637	294	167
638	294	166
639	295	166
640	296	165
641	296	165
642	296	164
643	297	164
644	297	163
645	298	163
646	298	163
647	299	162
648	299	162
649	300	161
650	300	161
651	301	160
652	301	160
653	302	159
654	302	159
655	303	158
656	303	158
657	304	158
658	304	157
659	305	157
660	305	156
661	306	156
662	306	155
663	307	155
664	307	154
665	308	154
666	308	154
667	309	153
668	309	153
669	309	152
670	310	152
671	310	151
672	311	151
673	311	150
674	312	150
675	312	149
676	313	149
677	313	149
678	314	148
679	314	148
680	315	147
681	315	147
682	316	146
683	316	146
684	317	145
685	317	145
686	318	144
687	318	144
688	319	144
689	319	143
690	320	143
691	320	142
692	321	142
693	321	141
694	322	141
695	322	140
696	323	140
697	323	140
698	324	139
699	325	139
700	325	138
701	325	138
702	326	137
703	326	137
704	327	136
705	327	136
706	328	136
707	328	135
708	329	135
709	329	134
710	329	134
711	330	133
712	330	133
713	331	132
714	331	132
715	332	131
716	332	131
717	332	130
718	333	130
719	333	129
720	334	129
721	334	128
722	334	128
723	335	127
724	335	127
725	336	126
726	336	126
727	336	125
728	337	125
729	337	124
730	338	124
731	338	123
732	339	123
733	339	123
734	339	122
735	340	122
736	340	121
737	341	121
738	341	120
739	341	120
740	342	119
741	342	119
742	343	118
743	343	118
744	343	117
745	344	117
746	344	116
747	345	116
748	345	115
749	345	115
750	346	114
751	346	114
752	347	113
753	347	113
754	347	112
755	348	112
756	348	111
757	349	111
758	349	111
759	350	110
760	350	110
761	350	109
762	351	109
763	351	108
764	352	108
765	352	107
766	352	107
767	353	106
768	353	106
769	354	105
770	354	105
771	354	104
772	355	104
773	355	103
774	356	103
775	356	102
776	357	102
777	357	102
778	358	101
779	358	101
780	359	100
781	359	100
782	360	99
783	360	99
784	361	98
785	361	98
786	361	97
787	362	97
788	362	97
789	363	96
790	363	96
791	364	95
792	364	95
793	365	94
794	365	94
795	366	93
796	366	93
797	367	92
798	367	92
799	368	92
800	368	91
801	369	91
802	369	90
803	370	90
804	370	89
805	371	89
806	371	88
807	372	88
808	373	88
809	373	87
810	374	87
811	374	86
812	375	86
813	376	85
814	376	85
815	377	85
816	377	84
817	378	84
818	378	83
819	379	83
820	379	82
821	380	82
822	380	81
823	381	81
824	381	80
825	382	80
826	382	80
827	383	79
828	383	79
829	384	78
830	384	78
831	385	77
832	385	77
833	386	76
834	386	76
835	387	76
836	388	75
837	388	75
838	388	74
839	389	74
840	389	73
841	390	73
842	390	72
843	391	72
844	391	71
845	392	71
846	392	70
847	393	70
848	393	70
849	394	69
850	394	69
851	395	68
852	395	68
853	396	67
854	396	67
855	397	66
856	397	66
857	398	65
858	399	65
859	399	65
860	400	64
861	400	64
862	401	63
863	401	63
864	402	62
865	402	62
866	403	61
867	403	61
868	404	60
869	404	60
870	405	59
871	405	59
872	406	59
873	406	58
874	406	58
875	407	57
876	407	57
877	408	56
878	408	56
879	409	55
880	409	55
881	410	54
882	410	54
883	410	53
884	411	53
885	411	53
886	412	52
887	412	52
888	413	51
889	413	51
890	414	50
891	414	50
892	415	49
893	415	49
894	416	48
895	416	48
896	417	47
897	417	47
898	417	46
899	418	46
900	418	46
901	419	45
902	419	45
903	420	44
904	420	44
905	421	43
906	421	43
907	422	42
908	422	42
909	423	41
910	423	41
911	424	40
912	424	40
913	425	40
914	425	39
915	426	39
916	426	38
917	427	38
918	427	37
919	428	37
920	428	36
921	429	36
922	429	35
923	430	35
924	430	34
925	431	34
